호출부호,선사,선명,총톤수,LOA
OUMO2,MAE,CORNELIUSMAERSK,92198,347
9VBN2,MAE,MAERSKALFIRK,109534,337
D7GO,SML,SMSHANGHAI,74906,304
V7GN9,MAE,SANFELIX,96386,182
D5NB7,MSC,MSCTINA,194308,398
OXLT2,MAE,MAERSKEDINBURGH,141716,366
3E6006,RLS,YONGSHUN,16405,167
C6TN2,KFC,MAGNA,5403,114
MOEK5,MCC,CELANDINE,18848,162
3E5149,RLS,HONGYONGLANTIAN,15512,153
OUWM2,MAE,CAPESOREL,26914,189
3FCY9,MCC,MAERSKNORESUND,25805,172
CQAB5,MCC,ASSOPHIA,18123,175
BQOM,SML,RENJIAN20,42110,260
D5IS6,ZIM,ZIMXIAMEN,94416,300
5LLW4,MSC,MSCMETTE,235651,399
CQ2152,ESL,ESLSANA,73934,304
C6TI4,KFC,MARVEL,5403,115
V7FQ3,MAE,TASMAN,66526,278
9V7017,XPR,X-PRESSODYSSEY,48531,256
D7WQ,SML,SMPORTLAND,40839,261
9V6990,MSC,BOTANY,28270,213
VRUC4,ZIM,ZIMSHENZHEN,91761,335
5LDM2,MAE,MAERSKCAMBRIDGE,149944,365
3FKQ,MSC,MSCPALOMA,153092,365
D5VU9,ZIM,VELA,41225,240
9V8739,ONE,NYKFUTAGO,44925,267
KSFF,MAE,MAERSKSARATOGA,24488,195
D5WW3,ZIM,ZIMPUSAN,66278,279
D7EF,SML,SMKWANGYANG,74962,304
9V6464,MAE,MAERSKEMERALD,142121,366
OWWS2,MAE,CORNELIAMAERSK,91921,347
D7FP,SML,SMLONGBEACH,74962,304
A8OR4,MSC,MSCUBERTYVIII,90507,333
5LMS8,MCC,LITTLEATHINA,19129,172
V7A4687,GFS,GFSGALAXY,75604,304
D5LP2,MSC,MSCDITTE,194308,398
A8RV5,ZIM,BACH,35991,231
9V8722,XPR,X-PRESSCARINA,73172,272
D5OD8,SML,SMMUMBAI,40029,260
9V6205,MAE,CHASTINEMAERSK,92198,347
VRVO3,MAE,GERNERMAERSK,99002,367
9VFK9,MCC,LUDWIGSCHULTE,18321,175
H9BV,MSC,MSCARINA,228741,400
VRUX8,ZIM,ZIMMOUNTEVEREST,152204,366
OYJO2,MCC,NORDAGERMAERSK,26255,172
A8LN2,MAE,ARCHER,27779,101
9V5243,MAE,MAERSKSEVILLE,93511,335
VRSN8,SML,KOTALUKIS,39906,261
OWQZ2,MAE,MERETEMAERSK,194849,399
OXBD2,MAE,SANTAURSULA,86601,300
5LJV5,MSC,MSCDOMNAX,92198,347
5LPF3,ZIM,ZIMCONDOR,49877,238
9HA3481,MAE,ARTOTINA,25703,208
9V5242,MAE,MAERSKSINGAPORE,93511,335
OZJF2,MAE,MAERSKLABERINTO,89505,300
3E7565,RLS,NZSUZHOU,20190,185
D7BT,SML,SMBUSAN,74962,304
VRVC4,ZIM,ZIMMOUNTVINSON,152204,366
V2HR4,MCC,HELGOLAND,18680,172
